i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
1108,PE,A_Trend-only,-0.17833395014783537,-0.015250907937391922,0.15738936991382957,0.26048550757055144,0.4233652043418412,0.17833395014783537,-0.15738936991382957,0.4634242558573698,-0.17833395014783537,0.0,0.0,-17.235494880546078,-4.22354948805461,-3.0716723549488125,5.41808873720136,-21.84300341296929,True
1115,PE,A_Trend-only,-0.010792187270936004,0.15516314529133712,0.42944760291266926,0.297497841562544,0.2610487562513142,0.010792187270936004,-0.42944760291266926,0.42944760291266926,-0.010792187270936004,0.0,0.0,-0.649350649350652,12.755102040816327,12.847866419294999,22.44897959183674,-8.116883116883116,True
1122,PE,A_Trend-only,-0.0588504544562829,-0.17634702151312354,-0.004495520826530708,-0.11422709736481629,-0.24704930360295307,0.0588504544562829,0.004495520826530708,0.2495014058719658,-0.24704930360295307,,,,,,,,False
1129,PE,A_Trend-only,0.013928061562040739,-0.3959256323442295,-0.445697969985015,-0.330381813228775,-0.4977233764079214,-0.013928061562040739,0.445697969985015,0.013928061562040739,-0.5503632561350003,0.0,0.41341295360588226,-38.86081763895269,-35.92099219108865,-41.34129536058796,9.64630225080386,-49.47175011483693,True
1136,PE,A_Trend-only,-0.11910443256120118,0.08647308117456509,0.07811129738173328,-0.0673021622349168,-0.16907118937197207,0.11910443256120118,-0.07811129738173328,0.0999335136215529,-0.2883795678793266,0.0,-12.332301341589268,9.184726522187814,2.8895768833849296,7.7915376676986545,31.166150670794618,-20.18575851393189,True
1198,PE,A_Trend-only,-0.046674254644907265,-0.02517953211107482,0.2399220458062734,0.1840357672182824,-0.07799513605137864,0.046674254644907265,-0.2399220458062734,0.2865963004511807,-0.07799513605137864,0.0,-6.762917933130693,-18.693009118541028,-24.468085106382972,-14.893617021276592,6.3829787234042605,-38.98176291793313,True
1205,PE,A_Trend-only,0.031195869010192112,-0.1945637093530017,-0.34274408715140314,-0.302723070987021,-0.254697851589758,-0.031195869010192112,0.34274408715140314,0.031195869010192112,-0.34274408715140314,0.0,-4.930966469428007,-59.27021696252466,-65.97633136094674,-78.50098619329388,28.2051282051282,-79.19132149901381,True
1212,PE,A_Trend-only,0.0036837312104132103,-0.005730248549529193,0.04645594359797833,0.09270723546206394,0.14018643772959472,-0.0036837312104132103,-0.04645594359797833,0.14018643772959472,-0.01719074564858758,0.0,0.0,-3.4872761545711484,-11.969839773798293,-20.07540056550424,16.399622997172486,-27.992459943449568,True
1286,PE,A_Trend-only,-0.00495072992323653,0.10045856135912912,0.21184998463210647,0.3453134121461865,0.2840481293460595,0.00495072992323653,-0.21184998463210647,0.46433721071750256,-0.045794251790010065,0.0,-1.7030303030303044,7.090909090909084,8.333333333333332,18.181818181818183,20.515151515151512,-11.000000000000004,True
1293,PE,A_Trend-only,0.14899243863374378,-0.010346697127339155,-0.1463022973806405,0.12271182793027746,0.06518419190225666,-0.14899243863374378,0.1463022973806405,0.14899243863374378,-0.1463022973806405,0.0,10.261733987668304,-3.9574682270038957,5.480055366805089,-8.26727066817666,14.508619604882348,-10.123316974959106,True
