var,bucket,n,mean_var,o15_mean,o15_up,o30_mean,o30_med,o30_up,o60_mean,o60_up,omfe,omae,u30_mean,u30_up
dte,"(3.0, 6.0]",92,6.0,-0.24356559906182843,48.91304347826087,1.3299185021433544,-0.5429601137985093,46.73913043478261,1.1121555068176243,48.91304347826087,16.427872263285188,-15.520895637802886,0.015737826759303828,51.08695652173913
moneyness,"(-0.103, -0.0448]",135,-0.07412345097367329,-0.48918975208478943,36.2962962962963,-2.058327942605262,-2.5225786359389666,40.0,-3.4310702554180286,43.7037037037037,21.678022377727807,-21.171102831776583,0.007793290447138756,54.074074074074076
moneyness,"(-0.0448, 0.00322]",135,-0.023856894609136394,-0.37053142098686653,43.7037037037037,2.1727805341433495,0.8595988538681912,53.333333333333336,2.214644178481356,51.11111111111111,27.365059041477476,-21.238433945711776,0.04620009404903052,60.0
moneyness,"(0.00322, 0.0531]",135,0.028308066275525512,-1.601342977775273,35.55555555555556,-1.1282311461677008,0.32573289902280594,51.85185185185185,-1.6294584460744714,48.148148148148145,25.678237367930716,-20.794806020055233,0.031297670243462895,57.03703703703704
moneyness,"(0.0531, 0.106]",135,0.07761252213996436,-0.21843735226305766,34.074074074074076,0.20528287996441494,-0.8998548621190197,43.7037037037037,1.3580942644817278,45.18518518518518,22.28724672042131,-18.36334626741782,0.014633085691920948,53.333333333333336
strike_dist,"(0.099, 6.15]",138,3.403623188405697,-1.2907708385764813,41.30434782608695,2.116049030311567,0.8800470631340056,52.17391304347826,4.1016992341816625,51.449275362318836,32.44400933348249,-22.259345523739444,0.06166012920514102,62.31884057971014
strike_dist,"(6.15, 12.075]",132,9.33598484848481,-0.41910969084051797,37.121212121212125,-1.0166251051015975,0.0,49.24242424242424,-3.6328172212349856,46.96969696969697,20.64224325863892,-19.643293502834997,0.012948611690879621,54.54545454545454
strike_dist,"(12.075, 18.55]",135,15.28407407407428,-0.19644565272426798,40.0,-0.650391475998469,-1.8333333333333333,40.74074074074074,-1.2499264291150145,44.44444444444444,21.577271808373748,-19.79415357975153,0.00828333794618537,52.59259259259259
strike_dist,"(18.55, 24.95]",135,21.712962962962884,-0.753805073241254,31.11111111111111,-1.3271431046636588,-0.6704980842911904,46.666666666666664,-0.8415114521676754,45.18518518518518,22.08277963873229,-19.812761969282022,0.015949583422363505,54.81481481481482
premium,"(2.599, 86.138]",135,47.98288888888889,-2.681594046542904,28.14814814814815,-3.7084399159682553,-4.005621925509498,40.74074074074074,-6.521901144432723,39.25925925925926,41.99374131316468,-34.2467806363875,0.01571882148691708,58.51851851851851
