i,timestamp,direction,spot,open,high,low,prev_open,prev_high,prev_low,prev_close,ema20,ema50,rsi,ema_sep_pct,body_pct,upper_wick,lower_wick,close_loc,range_vs_atr,pullback_depth_pct,band_pos,sig_bull,prev_bull,u5,u10,u15,u30,u60,next_dirs,contract_found,premium,option_atr,strike,strike_dist,expiry,dte,instrument_key,o5,o10,o15,o30,o60,opt_next_dirs
1710,2024-11-04T13:15:00+05:30,PE,23875.95,23905.6,23916.4,23874.55,23897.15,23917.25,23880.1,23905.7,23892.444142,23954.819074,50.0117,0.26038573619493166,0.7084826762245225,0.2580645161290883,0.03345280764638906,0.03345280764638906,1.5155591430026265,0.10026541385897686,0.22236967436609878,False,True,-0.013612023814759202,-0.024711058617568955,0.028061710633506633,0.08188155863954846,0.20501802022537627,"down,down,up",True,231.65,18.665255,23900.0,24.049999999999272,2024-11-07,3.0,NSE_FO|50367|07-11-2024,0.0,-0.7122814590977793,-0.7122814590977793,-2.9138786963090872,-5.763004532700192,"flat,down,flat"
1711,2024-11-04T13:20:00+05:30,PE,23872.7,23875.3,23881.95,23870.9,23905.6,23916.4,23874.55,23875.95,23890.563747,23951.598718,42.5002,0.2548262924684531,0.23529411764694264,0.6018099547513025,0.16289592760175484,0.16289592760175484,0.4180782482816236,-0.036055017751856405,0.14663610124897145,False,False,-0.011100545811749216,0.041679407859189485,0.037281078386599824,0.10974879255384068,0.257197552015473,"down,up,down",True,205.5,16.034834,23850.0,-22.700000000000728,2024-11-07,3.0,NSE_FO|50365|07-11-2024,0.0,0.24330900243309003,0.24330900243309003,-0.7299270072992701,-5.401459854014596,"flat,up,flat"
1712,2024-11-04T13:25:00+05:30,PE,23870.05,23872.75,23886.15,23866.45,23875.3,23881.95,23870.9,23872.7,23888.610057,23948.400729,41.7622,0.2496645712446111,0.13705583756348366,0.680203045685328,0.18274111675118843,0.18274111675118843,0.759160641166296,-0.010298033222235844,0.1609455370987607,False,False,0.05278581318431333,0.04838699541894245,0.05131954059585128,0.18621661873352058,0.27691605170496997,"up,down,up",True,206.0,15.534117,23850.0,-20.049999999999272,2024-11-07,3.0,NSE_FO|50365|07-11-2024,0.0,-2.500000000000003,-2.500000000000003,-1.8689320388349486,-11.286407766990292,"flat,down,flat"
1828,2024-11-06T10:35:00+05:30,CE,24328.95,24306.35,24333.65,24304.2,24324.45,24324.45,24281.25,24313.0,24316.285279,24214.433467,55.0082,0.42062438561202287,0.7674023769100722,0.15959252971139598,0.0730050933785319,0.8404074702886041,0.8293957687072533,0.04970035044964728,0.8057220275279818,True,False,-0.12125471917201523,-0.09926445654252014,0.07583557860080573,0.11282854377192902,0.21702539567058698,"down,up,up",True,94.9,19.076874,24350.0,21.049999999999272,2024-11-07,1.0,NSE_FO|50390|07-11-2024,0.0,-10.484720758693364,-10.484720758693364,11.064278187565858,6.26975763962064,"flat,down,flat"
1831,2024-11-06T10:50:00+05:30,CE,24347.4,24303.8,24365.35,24300.0,24298.45,24319.7,24296.1,24304.8,24316.946423,24226.130275,52.57,0.3748685694707043,0.6671767406274393,0.27467482784999986,0.05814843152256093,0.7253251721500001,1.7746362416620216,0.06968976575106726,0.7946167968049694,True,True,0.05667956332092655,0.022589681033703804,0.03696493260060622,0.07701027625126297,0.3199520277319049,"up,down,up",True,105.4,19.725544,24350.0,2.599999999998545,2024-11-07,1.0,NSE_FO|50390|07-11-2024,0.0,-0.7115749525616698,-0.7115749525616698,-4.316888045540807,-2.2770398481973486,"flat,down,flat"
1835,2024-11-06T11:10:00+05:30,CE,24369.05,24356.55,24371.85,24356.55,24351.6,24358.85,24349.55,24356.4,24331.232776,24245.930156,60.2011,0.3518224273152617,0.8169934640523264,0.18300653594767358,0.0,0.8169934640523264,0.46862444482932725,-0.10405236854653373,0.8911402047480772,True,True,-0.05293599873609278,-0.011900340801130194,-0.029135317133817465,0.09315094351236805,0.22241326600750022,"down,up,down",True,105.35,14.996689,24350.0,-19.049999999999272,2024-11-07,1.0,NSE_FO|50390|07-11-2024,0.0,-5.932605600379687,-5.932605600379687,-4.74608448030375,8.97009966777409,"flat,down,flat"
1837,2024-11-06T11:20:00+05:30,CE,24366.15,24355.8,24366.15,24353.9,24367.0,24370.2,24353.45,24356.15,24336.705288,24254.797503,58.9352,0.33769725346034535,0.8448979591838517,0.0,0.15510204081614834,1.0,0.40647461974133414,-0.07065340931123838,0.872585227395134,True,False,-0.017237027597715383,0.09439324636842505,0.06402324536292579,0.24275480533444063,0.18160439790446992,"down,up,down",True,103.0,13.3365,24350.0,-16.150000000001455,2024-11-07,1.0,NSE_FO|50390|07-11-2024,0.0,-2.572815533980588,-2.572815533980588,7.766990291262135,38.592233009708735,"flat,down,flat"
1839,2024-11-06T11:30:00+05:30,CE,24389.15,24362.05,24392.05,24361.3,24365.9,24372.05,24360.35,24361.95,24343.875304,24264.1035,59.5324,0.3287646873085584,0.8813008130082011,0.09430894308935991,0.024390243902439025,0.9056910569106401,1.0618797564659066,-0.07157733015965262,0.8730985167553683,True,False,-0.030341360810038298,0.010660478122437825,0.016605744767649845,0.20746930499832317,0.18860845908939014,"down,up,up",True,92.95,11.609971,24400.0,10.849999999998545,2024-11-07,1.0,NSE_FO|50392|07-11-2024,0.0,-5.594405594405597,-5.594405594405597,-2.2592791823561145,24.045185583647115,"flat,down,flat"
1850,2024-11-06T12:25:00+05:30,CE,24426.5,24409.6,24432.1,24408.75,24414.65,24419.0,24399.1,24410.4,24393.698475,24318.553849,60.9561,0.3090012114478229,0.7237687366168097,0.23982869379010252,0.0364025695930877,0.7601713062098975,0.9939028423577532,-0.061702513111837366,0.8676125072843626,True,False,0.035412359527568237,0.0579288887069431,-0.018217919063315362,0.019855484821806418,0.11258264589687429,"up,up,down",True,77.45,11.152013,24450.0,23.5,2024-11-07,1.0,NSE_FO|50394|07-11-2024,0.0,8.198837959974169,8.198837959974169,-0.25823111684958405,7.617817947062609,"flat,up,flat"
1856,2024-11-06T12:55:00+05:30,CE,24431.35,24412.45,24433.05,24410.65,24417.8,24421.55,24405.45,24413.0,24408.352566,24341.615013,56.8643,0.2741706043923564,0.8437499999999848,0.07589285714289702,0.0803571428571182,0.9241071428571029,1.0554193143241235,-0.009412491047020983,0.8385624950261283,True,False,-0.016372406764259856,0.013711890665076562,0.10601133379858853,0.09270875330262739,0.23330679639070295,"down,up,up",True,83.35,9.803109,24450.0,18.650000000001455,2024-11-07,1.0,NSE_FO|50394|07-11-2024,0.0,-0.41991601679663393,-0.41991601679663393,7.498500299940012,6.41871625674866,"flat,down,flat"
