trade_id,variant,period,date,underlying,signal_bar_timestamp,entry_timestamp,exit_timestamp,option_type,strike,strike_mode,expiry,instrument_key,entry_premium,exit_premium,underlying_entry,underlying_exit,option_atr,underlying_atr,quantity,setup_score,signal_reason,regime,stop_loss,target,exit_reason,gross_pnl,brokerage,stt,exchange_charges,sebi_charges,gst,stamp_duty,slippage,total_cost,net_pnl,capital_before,capital_after,holding_time_mins,mfe_pct,mae_pct,option_return_pct,underlying_return_pct,option_underlying_ratio,is_expiry_day,entry_hour,gap_through_stop,same_candle_conflict
V8-A_0321,V8-A,DEVELOPMENT,2024-06-20,BANKNIFTY,2024-06-20T10:30:00+05:30,2024-06-20T10:35:00+05:30,2024-06-20T15:20:00+05:30,PE,51400.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462651400PE,411.68,395.4,51438.8,51800.4,36.54,121.31,30,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,319.63,473.43,INTRADAY_SQUARE_OFF,-488.4,12.11,17.79,12.11,0.02,4.36,0.37,2.42,49.18,-537.58,334018.68,333481.1,285.0,0.0,-4.87,-3.95,0.7,-5.63,False,10:00,False,False
V8-A_0322,V8-A,DEVELOPMENT,2024-06-20,NIFTY50,2024-06-20T14:00:00+05:30,2024-06-20T14:05:00+05:30,2024-06-20T14:10:00+05:30,CE,23550.0,ATM,2024-06-20,NSE_FO|NIFTY2462023550CE,59.21,68.09,23556.9,23562.75,23.13,24.3,250,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,46.76,68.09,TARGET,2220.37,15.91,25.53,15.91,0.03,5.73,0.44,3.18,66.73,2153.64,333481.1,335634.74,5.0,73.48,-11.77,15.0,0.02,604.02,True,14:00,False,False
V8-A_0323,V8-A,DEVELOPMENT,2024-06-20,NIFTY50,2024-06-20T14:50:00+05:30,2024-06-20T14:55:00+05:30,2024-06-20T14:55:00+05:30,CE,23550.0,ATM,2024-06-20,NSE_FO|NIFTY2462023550CE,67.46,53.27,23565.15,23557.8,23.81,24.55,225,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,53.27,77.58,STOP_LOSS,-3193.87,13.58,17.98,13.58,0.03,4.89,0.46,2.72,53.24,-3247.11,335634.74,332387.63,0.0,33.52,-22.55,-21.04,-0.03,674.64,True,14:00,False,False
V8-A_0324,V8-A,DEVELOPMENT,2024-06-21,BANKNIFTY,2024-06-21T10:00:00+05:30,2024-06-21T10:05:00+05:30,2024-06-21T10:10:00+05:30,PE,51600.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462651600PE,398.02,457.72,51581.85,51500.3,39.33,85.89,30,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,311.79,457.72,TARGET,1791.09,12.84,20.6,12.84,0.03,4.63,0.36,2.57,53.87,1737.22,332387.63,334124.85,5.0,85.04,-5.26,15.0,-0.16,-94.88,False,10:00,False,False
V8-A_0325,V8-A,DEVELOPMENT,2024-06-21,BANKNIFTY,2024-06-21T10:30:00+05:30,2024-06-21T10:35:00+05:30,2024-06-21T10:40:00+05:30,PE,51500.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462651500PE,384.72,442.43,51494.55,51452.1,8.72,77.11,30,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,302.02,442.43,TARGET,1731.24,12.41,19.91,12.41,0.02,4.47,0.35,2.48,52.05,1679.19,334124.85,335804.04,5.0,67.32,-3.42,15.0,-0.08,-181.96,False,10:00,False,False
V8-A_0326,V8-A,DEVELOPMENT,2024-06-21,BANKNIFTY,2024-06-21T11:15:00+05:30,2024-06-21T11:20:00+05:30,2024-06-21T13:05:00+05:30,PE,51400.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462651400PE,378.6,435.39,51403.3,51301.55,11.16,71.34,30,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,297.62,435.39,TARGET,1703.7,12.21,19.59,12.21,0.02,4.4,0.34,2.44,51.21,1652.49,335804.04,337456.53,105.0,44.96,-3.88,15.0,-0.2,-75.78,False,11:00,False,False
V8-A_0327,V8-A,DEVELOPMENT,2024-06-24,BANKNIFTY,2024-06-24T10:15:00+05:30,2024-06-24T10:20:00+05:30,2024-06-24T15:20:00+05:30,PE,51300.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462651300PE,270.89,241.98,51283.75,51748.45,55.65,99.05,45,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,211.48,311.52,INTRADAY_SQUARE_OFF,-1300.95,11.54,16.33,11.54,0.02,4.16,0.37,2.31,46.27,-1347.22,337456.53,336109.31,300.0,11.73,-11.48,-10.67,0.91,-11.78,False,10:00,False,False
V8-A_0328,V8-A,DEVELOPMENT,2024-06-24,NIFTY50,2024-06-24T11:45:00+05:30,2024-06-24T11:50:00+05:30,2024-06-24T11:50:00+05:30,CE,23500.0,ATM,2024-06-27,NSE_FO|NIFTY2462723500CE,147.26,169.35,23509.15,23535.85,18.82,27.53,100,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,116.08,169.35,TARGET,2208.9,15.83,25.4,15.83,0.03,5.7,0.44,3.17,66.4,2142.5,336109.31,338251.81,0.0,32.99,-6.28,15.0,0.11,132.07,False,11:00,False,False
V8-A_0329,V8-A,DEVELOPMENT,2024-06-24,NIFTY50,2024-06-24T12:45:00+05:30,2024-06-24T12:50:00+05:30,2024-06-24T13:10:00+05:30,CE,23500.0,ATM,2024-06-27,NSE_FO|NIFTY2462723500CE,160.6,184.69,23522.5,23546.6,17.38,21.89,100,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,126.99,184.69,TARGET,2409.0,17.26,27.7,17.26,0.03,6.22,0.48,3.45,72.4,2336.6,338251.81,340588.41,20.0,20.2,-14.07,15.0,0.1,146.41,False,12:00,False,False
V8-A_0330,V8-A,DEVELOPMENT,2024-06-25,NIFTY50,2024-06-25T10:20:00+05:30,2024-06-25T10:25:00+05:30,2024-06-25T12:25:00+05:30,CE,23600.0,ATM,2024-06-27,NSE_FO|NIFTY2462723600CE,117.14,134.71,23592.65,23622.35,3.81,21.14,125,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,92.66,134.71,TARGET,2196.37,15.74,25.26,15.74,0.03,5.67,0.44,3.15,66.03,2130.34,340588.41,342718.75,120.0,128.96,-0.32,15.0,0.13,119.15,False,10:00,False,False
V8-A_0331,V8-A,DEVELOPMENT,2024-06-25,BANKNIFTY,2024-06-25T11:45:00+05:30,2024-06-25T11:50:00+05:30,2024-06-25T12:25:00+05:30,CE,52100.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462652100CE,200.33,230.38,52085.9,52240.6,22.02,56.25,75,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,158.1,230.38,TARGET,2253.71,16.15,25.92,16.15,0.03,5.82,0.45,3.23,67.75,2185.96,342718.75,344904.71,35.0,312.52,-0.16,15.0,0.3,50.5,False,11:00,False,False
V8-A_0332,V8-A,DEVELOPMENT,2024-06-25,NIFTY50,2024-06-25T13:10:00+05:30,2024-06-25T13:15:00+05:30,2024-06-25T14:05:00+05:30,CE,23650.0,ATM,2024-06-27,NSE_FO|NIFTY2462723650CE,139.07,159.93,23671.6,23697.05,11.55,19.3,100,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,110.12,159.93,TARGET,2086.05,14.95,23.99,14.95,0.03,5.39,0.42,2.99,62.72,2023.33,344904.71,346928.04,50.0,58.41,-7.26,15.0,0.11,139.52,False,13:00,False,False
V8-A_0333,V8-A,DEVELOPMENT,2024-06-26,BANKNIFTY,2024-06-26T10:20:00+05:30,2024-06-26T10:25:00+05:30,2024-06-26T10:25:00+05:30,PE,52500.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462652500PE,116.61,134.1,52516.1,52523.5,49.59,94.62,135,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,91.19,134.1,TARGET,2361.35,16.92,27.16,16.92,0.03,6.1,0.47,3.38,70.98,2290.37,346928.04,349218.41,0.0,31.34,-5.72,15.0,0.01,1064.52,True,10:00,False,False
V8-A_0334,V8-A,DEVELOPMENT,2024-06-26,BANKNIFTY,2024-06-26T10:35:00+05:30,2024-06-26T10:40:00+05:30,2024-06-26T15:20:00+05:30,PE,52500.0,ATM,2024-06-26,NSE_FO|BANKNIFTY2462652500PE,133.69,114.69,52482.85,52774.55,52.81,88.31,120,85.0,V7-G Control: Pullback Retest + Bearish Reversal Confirmation,TRENDING,104.7,153.74,INTRADAY_SQUARE_OFF,-2280.0,14.9,20.64,14.9,0.03,5.37,0.48,2.98,59.3,-2339.3,349218.41,346879.11,280.0,7.49,-17.76,-14.21,0.56,-25.57,True,10:00,False,False
V8-A_0335,V8-A,DEVELOPMENT,2024-06-26,NIFTY50,2024-06-26T12:30:00+05:30,2024-06-26T12:35:00+05:30,2024-06-26T13:55:00+05:30,CE,23850.0,ATM,2024-06-27,NSE_FO|NIFTY2462723850CE,91.73,105.49,23847.85,23851.7,0.93,19.54,175,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,72.63,105.49,TARGET,2407.91,17.26,27.69,17.26,0.03,6.22,0.48,3.45,72.39,2335.52,346879.11,349214.63,80.0,43.44,-0.49,15.0,0.02,929.14,False,12:00,False,False
V8-A_0336,V8-A,DEVELOPMENT,2024-06-27,BANKNIFTY,2024-06-27T10:25:00+05:30,2024-06-27T10:30:00+05:30,2024-06-27T15:20:00+05:30,CE,53100.0,ATM,2024-07-03,NSE_FO|BANKNIFTY2470353100CE,424.88,412.82,53074.2,52810.75,22.89,92.64,30,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,332.49,488.61,INTRADAY_SQUARE_OFF,-361.8,12.57,18.58,12.57,0.03,4.53,0.38,2.51,51.17,-412.97,349214.63,348801.66,290.0,0.02,-5.93,-2.84,-0.5,5.72,False,10:00,False,False
V8-A_0337,V8-A,DEVELOPMENT,2024-06-27,NIFTY50,2024-06-27T10:45:00+05:30,2024-06-27T10:50:00+05:30,2024-06-27T10:50:00+05:30,CE,23850.0,ATM,2024-06-27,NSE_FO|NIFTY2462723850CE,65.88,75.76,23862.9,23852.05,35.47,33.9,225,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,51.77,75.76,TARGET,2223.45,15.93,25.57,15.93,0.03,5.74,0.44,3.19,66.83,2156.62,348801.66,350958.28,0.0,335.55,-18.08,15.0,-0.05,-329.9,True,10:00,False,False
V8-A_0338,V8-A,DEVELOPMENT,2024-06-27,NIFTY50,2024-06-27T11:20:00+05:30,2024-06-27T11:25:00+05:30,2024-06-27T12:00:00+05:30,CE,23950.0,ATM,2024-06-27,NSE_FO|NIFTY2462723950CE,53.08,61.04,23924.45,23957.3,4.27,33.23,300,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,41.73,61.04,TARGET,2388.6,17.12,27.47,17.12,0.03,6.17,0.48,3.42,71.81,2316.79,350958.28,353275.07,35.0,257.14,-0.24,15.0,0.14,109.24,True,11:00,False,False
V8-A_0339,V8-A,DEVELOPMENT,2024-06-28,BANKNIFTY,2024-06-28T10:25:00+05:30,2024-06-28T10:30:00+05:30,2024-06-28T15:20:00+05:30,CE,53000.0,ATM,2024-07-03,NSE_FO|BANKNIFTY2470353000CE,389.76,335.21,52952.9,52309.95,7.89,77.04,30,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,306.14,448.22,INTRADAY_SQUARE_OFF,-1636.5,10.87,15.08,10.87,0.02,3.92,0.35,2.17,43.28,-1679.78,353275.07,351595.29,290.0,0.14,-16.57,-14.0,-1.21,11.53,False,10:00,False,False
V8-A_0340,V8-A,DEVELOPMENT,2024-06-28,NIFTY50,2024-06-28T11:10:00+05:30,2024-06-28T11:15:00+05:30,2024-06-28T15:20:00+05:30,CE,24150.0,ATM,2024-07-04,NSE_FO|NIFTY2470424150CE,193.34,186.73,24147.6,24005.6,0.5,21.48,75,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,152.95,222.34,INTRADAY_SQUARE_OFF,-495.75,14.25,21.01,14.25,0.03,5.14,0.44,2.85,57.97,-553.72,351595.29,351041.57,245.0,0.27,-4.32,-3.42,-0.59,5.81,False,11:00,False,False
V8-A_0341,V8-A,VALIDATION,2024-07-01,BANKNIFTY,2024-07-01T10:05:00+05:30,2024-07-01T10:10:00+05:30,2024-07-01T11:20:00+05:30,CE,52500.0,ATM,2024-07-03,NSE_FO|BANKNIFTY2470352500CE,276.0,317.4,52515.25,52566.2,14.83,90.63,45,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,216.04,317.4,TARGET,1863.0,13.35,21.42,13.35,0.03,4.81,0.37,2.67,56.0,1807.0,351041.57,352848.57,70.0,50.65,-6.55,15.0,0.1,154.61,False,10:00,False,False
V8-A_0342,V8-A,VALIDATION,2024-07-01,NIFTY50,2024-07-01T10:40:00+05:30,2024-07-01T10:45:00+05:30,2024-07-01T12:05:00+05:30,CE,24100.0,ATM,2024-07-04,NSE_FO|NIFTY2470424100CE,141.42,162.63,24081.35,24114.55,0.29,21.94,100,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,111.85,162.63,TARGET,2121.3,15.2,24.39,15.2,0.03,5.48,0.42,3.04,63.76,2057.54,352848.57,354906.11,80.0,45.09,-0.18,15.0,0.14,108.8,False,10:00,False,False
V8-A_0343,V8-A,VALIDATION,2024-07-01,NIFTY50,2024-07-01T12:15:00+05:30,2024-07-01T12:20:00+05:30,2024-07-01T13:50:00+05:30,CE,24100.0,ATM,2024-07-04,NSE_FO|NIFTY2470424100CE,160.94,185.08,24119.3,24142.8,9.78,15.33,100,85.0,V7-G Control: Pullback Retest + Bullish Reversal Confirmation,TRENDING,127.73,185.08,TARGET,2414.1,17.3,27.76,17.3,0.03,6.23,0.48,3.46,72.56,2341.54,354906.11,357247.65,90.0,27.49,-12.02,15.0,0.1,153.95,False,12:00,False,False
