i,direction,label,u5,u15,u30,u45,u60,u5_raw,u30_raw,mfe,mae,o5,o15,o30,o45,o60,omfe,omae,has_opt
385,CE,E_Full_V9,-0.02879469383296751,-0.15429984212563808,0.03991540317536124,0.12888107791446668,0.11895187314447941,-0.02879469383296751,0.03991540317536124,0.12888107791446668,-0.2408825077199639,0.0,6.1921014139444255,-15.650901999024864,-26.289614822038025,-1.0238907849829324,7.215992198927358,-42.51584592881521,True
845,PE,E_Full_V9,-0.008057222393431651,0.12690125269665398,0.16779165634335236,0.17323028145892483,0.16678450354418173,0.008057222393431651,-0.16779165634335236,0.17323028145892483,-0.008057222393431651,0.0,-6.8131868131868165,57.58241758241759,38.24175824175824,66.1098901098901,92.52747252747251,-16.263736263736263,True
866,PE,E_Full_V9,-0.019576462230541658,-0.07648947613789758,-0.04884024597722192,0.05045479956325982,0.005650937551093804,0.019576462230541658,0.04884024597722192,0.05045479956325982,-0.07648947613789758,0.0,-8.653846153846157,-21.634615384615383,-24.038461538461537,-16.826923076923077,51.442307692307686,-29.807692307692314,True
1086,PE,E_Full_V9,-0.17523826522229946,0.003042330993441311,0.18112010514296228,0.18071446101051158,0.2904411988406741,0.17523826522229946,-0.18112010514296228,0.2904411988406741,-0.17523826522229946,0.0,0.0,-18.5576481396417,5.74184657785944,-2.802021129995404,18.603582912264585,-22.094625631603122,True
1093,PE,E_Full_V9,-0.0623794826363433,0.03454238452176295,0.0867623422987851,0.04734338584453379,-0.01259781082558753,0.0623794826363433,-0.0867623422987851,0.10931648748652156,-0.0623794826363433,0.0,0.0,-6.846846846846842,1.306306306306309,3.4684684684684637,9.729729729729728,-11.576576576576572,True
1108,PE,E_Full_V9,-0.17833395014783537,-0.015250907937391922,0.15738936991382957,0.26048550757055144,0.4233652043418412,0.17833395014783537,-0.15738936991382957,0.4634242558573698,-0.17833395014783537,0.0,0.0,-17.235494880546078,-4.22354948805461,-3.0716723549488125,5.41808873720136,-21.84300341296929,True
1117,PE,E_Full_V9,0.032416364759535465,0.16330508284523315,0.1690136250670271,0.27706817426548236,0.4627996729820838,-0.032416364759535465,-0.1690136250670271,0.4627996729820838,0.032416364759535465,,,,,,,,False
1129,PE,E_Full_V9,0.013928061562040739,-0.3959256323442295,-0.445697969985015,-0.330381813228775,-0.4977233764079214,-0.013928061562040739,0.445697969985015,0.013928061562040739,-0.5503632561350003,0.0,0.41341295360588226,-38.86081763895269,-35.92099219108865,-41.34129536058796,9.64630225080386,-49.47175011483693,True
1204,PE,E_Full_V9,0.015595501928911126,-0.05602068456045384,-0.31868176967906336,-0.266149552655337,-0.2616350652548727,-0.015595501928911126,0.31868176967906336,0.04678650578675558,-0.32709513256177214,0.0,-6.197964847363542,-37.94634597594819,-61.79463459759482,-77.05827937095282,20.25901942645699,-79.92599444958371,True
1302,PE,E_Full_V9,-0.09509937781386757,-0.057598315974405345,-0.09074842588774334,-0.011602538469657198,0.0099450329740014,0.09509937781386757,0.09074842588774334,0.1292854286620071,-0.09509937781386757,0.0,-8.669354838709669,-7.632488479262673,-4.1474654377880125,-11.635944700460824,3.024193548387097,-13.594470046082947,True
1312,PE,E_Full_V9,-0.08049308236639519,-0.07426939043084779,-0.06866806768885958,-0.11845760317326093,-0.012447383871094786,0.08049308236639519,0.06866806768885958,-0.012447383871094786,-0.14563439129180455,0.0,-2.8527607361963225,-5.460122699386506,-3.46625766871166,-2.8527607361963225,7.300613496932519,-14.785276073619627,True
